Batch,Generasi,Rute,Fitness,Jarak
292,48,Lembong ➝ Riau ➝ Cihampelas ➝ Dago,0.178863,5.59
292,49,Lembong ➝ Riau ➝ Cihampelas ➝ Dago,0.178863,5.59
292,50,Lembong ➝ Riau ➝ Cihampelas ➝ Dago,0.178863,5.59
293,1,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,2,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,3,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,4,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,5,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,6,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,7,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,8,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,9,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,10,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,11,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,12,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,13,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,14,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,15,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,16,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,17,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,18,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,19,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,20,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,21,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,22,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,23,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,24,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,25,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,26,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,27,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,28,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,29,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,30,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,31,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,32,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,33,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,34,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,35,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,36,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,37,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,38,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,39,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,40,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,41,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,42,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,43,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,44,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,45,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,46,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,47,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,48,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,49,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
293,50,Cihampelas ➝ Jalan Braga ➝ Kebon Kawung ➝ Setiabudi,0.126438,7.91
294,1,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,2,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,3,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,4,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,5,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,6,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,7,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,8,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,9,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,10,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,11,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,12,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,13,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,14,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,15,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,16,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,17,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,18,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,19,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,20,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,21,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,22,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,23,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,24,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,25,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,26,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,27,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,28,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,29,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,30,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,31,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,32,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,33,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,34,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,35,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,36,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,37,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,38,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,39,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,40,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,41,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,42,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,43,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,44,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,45,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,46,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,47,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,48,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
294,49,Buah Batu ➝ Pasir Kaliki ➝ Riau ➝ Dago,0.101543,9.85
